geneID,geneID2,base_mean,coeff_log2,coeff_natural,pvalue,qval,FDR,gene_symbol
ENSG00000136810,ENSG00000136810.12,4.68582032,0.008981571,1.00624497,4.02E-08,1.65E-05,7.43E-05,TXN
ENSG00000163251,ENSG00000163251.3,2.47215999,0.010510847,1.007312168,4.45E-08,1.79E-05,7.43E-05,FZD5
ENSG00000166848,ENSG00000166848.5,6.730050088,0.005985834,1.004157683,3.52E-08,1.49E-05,7.43E-05,TERF2IP
ENSG00000173914,ENSG00000173914.11,4.002858353,-0.00360425,0.997504843,4.89E-08,1.92E-05,7.43E-05,RBM4B
ENSG00000183625,ENSG00000183625.14,5.317819013,-0.013101784,0.990959647,4.95E-08,1.93E-05,7.43E-05,CCR3
ENSG00000188313,ENSG00000188313.12,6.488235028,0.011266264,1.007839751,4.57E-08,1.82E-05,7.43E-05,PLSCR1
ENSG00000197353,ENSG00000197353.3,-0.010603344,-0.017076616,0.988233169,4.12E-08,1.68E-05,7.43E-05,LYPD2
ENSG00000204010,ENSG00000204010.3,5.63939147,0.018007319,1.012559944,4.61E-08,1.83E-05,7.43E-05,IFIT1B
ENSG00000228526,ENSG00000228526.6,-0.76911089,0.011813017,1.008221774,5.01E-08,1.95E-05,7.43E-05,MIR34AHG
ENSG00000122741,ENSG00000122741.15,6.275138046,0.004258753,1.002956304,5.12E-08,1.98E-05,8.09E-05,DCAF10
ENSG00000112053,ENSG00000112053.13,3.196246474,0.014470926,1.010080956,6.20E-08,2.29E-05,9.09E-05,SLC26A8
ENSG00000116717,ENSG00000116717.11,2.827409357,0.008891021,1.006181815,6.01E-08,2.24E-05,9.09E-05,GADD45A
ENSG00000134333,ENSG00000134333.13,6.504801603,0.00423136,1.00293726,5.31E-08,2.04E-05,9.09E-05,LDHA
ENSG00000146007,ENSG00000146007.10,6.478135136,0.008860667,1.006160646,6.46E-08,2.36E-05,9.09E-05,ZMAT2
ENSG00000185112,ENSG00000185112.5,3.704022516,-0.007640843,0.994717772,5.85E-08,2.20E-05,9.09E-05,FAM43A
ENSG00000278897,ENSG00000278897.1,3.495296589,-0.007602702,0.99474407,5.70E-08,2.15E-05,9.09E-05,
ENSG00000051341,ENSG00000051341.13,2.345069463,0.009110805,1.006335111,9.02E-08,3.05E-05,0.000116617,POLQ
ENSG00000111726,ENSG00000111726.12,3.905115915,0.007597434,1.00528003,8.72E-08,2.98E-05,0.000116617,CMAS
ENSG00000132357,ENSG00000132357.13,4.36239304,0.006579359,1.004570879,9.42E-08,3.15E-05,0.000116617,CARD6
ENSG00000148143,ENSG00000148143.12,-0.318351827,0.013817712,1.009623721,1.05E-07,3.42E-05,0.000116617,ZNF462
ENSG00000158089,ENSG00000158089.14,2.531490953,0.015286848,1.010652372,1.06E-07,3.42E-05,0.000116617,GALNT14
ENSG00000163171,ENSG00000163171.7,7.588216672,0.00581145,1.004036314,1.06E-07,3.43E-05,0.000116617,CDC42EP3
ENSG00000163520,ENSG00000163520.13,0.346994886,-0.015142688,0.989558781,8.55E-08,2.93E-05,0.000116617,FBLN2
ENSG00000163568,ENSG00000163568.14,3.806587809,0.010515498,1.007315415,7.04E-08,2.53E-05,0.000116617,AIM2
ENSG00000163710,ENSG00000163710.7,-1.228841301,0.013823038,1.009627449,1.04E-07,3.39E-05,0.000116617,PCOLCE2
ENSG00000165490,ENSG00000165490.12,2.879289017,0.007526449,1.005230569,9.06E-08,3.06E-05,0.000116617,DDIAS
ENSG00000170801,ENSG00000170801.9,-1.247509372,0.01238742,1.008623274,6.62E-08,2.41E-05,0.000116617,HTRA3
ENSG00000173598,ENSG00000173598.13,5.832897585,0.00841283,1.005848365,7.26E-08,2.59E-05,0.000116617,NUDT4
ENSG00000183691,ENSG00000183691.4,1.578324177,-0.019271391,0.986730911,8.87E-08,3.01E-05,0.000116617,NOG
ENSG00000227502,ENSG00000227502.2,-1.310083756,0.012293631,1.008557705,1.02E-07,3.35E-05,0.000116617,MROCKI
ENSG00000249437,ENSG00000249437.7,5.812798948,0.012436123,1.008657323,9.14E-08,3.08E-05,0.000116617,NAIP
ENSG00000034053,ENSG00000034053.14,5.294994885,-0.008935616,0.993825444,1.35E-07,4.15E-05,0.000176123,APBA2
ENSG00000113368,ENSG00000113368.11,5.782132235,0.008803,1.006120428,1.16E-07,3.68E-05,0.000176123,LMNB1
ENSG00000127903,ENSG00000127903.13,1.342480651,-0.0118087,0.99184824,1.21E-07,3.81E-05,0.000176123,ZNF835
ENSG00000132912,ENSG00000132912.12,6.447449957,0.003754785,1.002606009,1.33E-07,4.09E-05,0.000176123,DCTN4
ENSG00000151012,ENSG00000151012.13,1.909354858,0.010794662,1.007510352,1.08E-07,3.48E-05,0.000176123,SLC7A11
ENSG00000159461,ENSG00000159461.14,6.973125764,0.007509717,1.00521891,1.24E-07,3.87E-05,0.000176123,AMFR
ENSG00000179104,ENSG00000179104.8,4.814717752,0.005508072,1.003825202,1.25E-07,3.90E-05,0.000176123,TMTC2
ENSG00000006125,ENSG00000006125.17,7.822744132,0.005554076,1.003857212,2.49E-07,6.85E-05,0.000311357,AP2B1
ENSG00000088986,ENSG00000088986.10,5.399157055,0.004706318,1.003267498,3.85E-07,9.46E-05,0.000311357,DYNLL1
ENSG00000100336,ENSG00000100336.17,0.083257648,0.01527869,1.010646657,3.99E-07,9.70E-05,0.000311357,APOL4
ENSG00000106804,ENSG00000106804.7,3.292044637,0.006697962,1.004653467,2.72E-07,7.33E-05,0.000311357,C5
ENSG00000110723,ENSG00000110723.11,2.23718554,-0.009281693,0.993587072,3.15E-07,8.19E-05,0.000311357,EXPH5
ENSG00000112394,ENSG00000112394.16,2.877447498,-0.011510513,0.992053264,2.90E-07,7.71E-05,0.000311357,SLC16A10
ENSG00000113319,ENSG00000113319.12,5.522630396,-0.007848483,0.994574617,1.95E-07,5.64E-05,0.000311357,RASGRF2
ENSG00000125249,ENSG00000125249.6,5.851106885,0.007741406,1.005380356,4.06E-07,9.82E-05,0.000311357,RAP2A
ENSG00000127328,ENSG00000127328.21,4.823655197,0.005341648,1.003709411,1.62E-07,4.84E-05,0.000311357,RAB3IP
ENSG00000132964,ENSG00000132964.11,4.058177298,0.004867811,1.003379808,4.23E-07,0.00010099,0.000311357,CDK8
ENSG00000134827,ENSG00000134827.7,2.703756991,0.015064202,1.010496414,2.43E-07,6.72E-05,0.000311357,TCN1
ENSG00000134909,ENSG00000134909.18,3.840369391,-0.006343516,0.995612662,2.75E-07,7.40E-05,0.000311357,ARHGAP32
ENSG00000135218,ENSG00000135218.17,7.622352809,0.007938547,1.005517749,1.37E-07,4.20E-05,0.000311357,CD36
ENSG00000135525,ENSG00000135525.18,2.075317116,-0.009594223,0.993371855,2.39E-07,6.64E-05,0.000311357,MAP7
ENSG00000135960,ENSG00000135960.9,2.110006571,-0.014744316,0.989832065,1.88E-07,5.48E-05,0.000311357,EDAR
ENSG00000137210,ENSG00000137210.13,4.338349458,0.004289757,1.002977858,3.49E-07,8.83E-05,0.000311357,TMEM14B
