geneID,geneID2,base_mean,coeff_log2,coeff_natural,pvalue,qval,FDR,gene_symbol
ENSG00000152990,ENSG00000152990.13,1.887683226,-0.013047623,0.99099685,1.27E-05,0.00380374,0.009372117,ADGRA3
ENSG00000168528,ENSG00000168528.11,-0.07143755,0.016674705,1.011625077,1.27E-05,0.003806723,0.009372117,SERINC2
ENSG00000171291,ENSG00000171291.8,4.407347825,-0.008230846,0.994311056,1.04E-05,0.003354111,0.009372117,ZNF439
ENSG00000172071,ENSG00000172071.11,5.503992859,-0.005346594,0.996300882,1.20E-05,0.003678113,0.009372117,EIF2AK3
ENSG00000172232,ENSG00000172232.9,0.232375065,0.018274847,1.012747727,1.25E-05,0.003767628,0.009372117,AZU1
ENSG00000183960,ENSG00000183960.8,2.1252641,-0.018061851,0.987558522,1.28E-05,0.003812323,0.009372117,KCNH8
ENSG00000184226,ENSG00000184226.14,5.178081637,-0.019286262,0.98672074,1.17E-05,0.003614955,0.009372117,PCDH9
ENSG00000189233,ENSG00000189233.11,3.193700993,0.013437911,1.009357964,1.30E-05,0.003847567,0.009372117,NUGGC
ENSG00000235531,ENSG00000235531.9,1.810038302,0.01462688,1.01019015,1.15E-05,0.003588032,0.009372117,MSC-AS1
ENSG00000244676,ENSG00000244676.5,-1.396091861,0.011204064,1.0077963,1.21E-05,0.003685163,0.009372117,
ENSG00000245812,ENSG00000245812.2,-1.065080072,-0.013423739,0.990738527,1.11E-05,0.003499907,0.009372117,LINC02202
ENSG00000270550,ENSG00000270550.1,0.656075154,-0.018370527,0.987347249,1.20E-05,0.003676627,0.009372117,IGHV3-30
