geneID,geneID2,base_mean,coeff_log2,coeff_natural,pvalue,qval,FDR,gene_symbol
ENSG00000081479,ENSG00000081479.12,-1.616632296,-0.016111506,0.988894482,7.94E-08,1.15E-05,0.000102722,LRP2
ENSG00000096006,ENSG00000096006.11,1.86522608,0.032145705,1.022531796,1.14E-07,1.57E-05,0.000102722,CRISP3
ENSG00000105011,ENSG00000105011.8,2.472073689,-0.018412503,0.987318521,1.13E-07,1.57E-05,0.000102722,ASF1B
ENSG00000127311,ENSG00000127311.9,7.29446435,0.006937902,1.004820569,7.47E-08,1.09E-05,0.000102722,HELB
ENSG00000127831,ENSG00000127831.10,1.746554775,-0.025250674,0.982649844,1.01E-07,1.42E-05,0.000102722,VIL1
ENSG00000136810,ENSG00000136810.12,4.679877623,0.014102207,1.009822835,9.92E-08,1.40E-05,0.000102722,TXN
ENSG00000145545,ENSG00000145545.11,4.68168169,0.00753565,1.00523698,9.87E-08,1.40E-05,0.000102722,SRD5A1
ENSG00000155380,ENSG00000155380.11,3.764737099,0.008633574,1.006002279,8.98E-08,1.29E-05,0.000102722,SLC16A1
ENSG00000163050,ENSG00000163050.16,5.989746967,-0.011992725,0.991721732,1.18E-07,1.63E-05,0.000102722,COQ8A
ENSG00000184602,ENSG00000184602.5,7.22819783,-0.012260271,0.991537835,1.05E-07,1.47E-05,0.000102722,SNN
ENSG00000185112,ENSG00000185112.5,3.709067914,-0.012080834,0.991661167,1.16E-07,1.60E-05,0.000102722,FAM43A
ENSG00000215386,ENSG00000215386.11,-1.116813868,-0.020337467,0.986002037,9.38E-08,1.34E-05,0.000102722,MIR99AHG
ENSG00000223865,ENSG00000223865.10,7.606158306,-0.011095059,0.992338987,1.04E-07,1.46E-05,0.000102722,HLA-DPB1
ENSG00000225783,ENSG00000225783.6,7.759159569,0.01456675,1.010148047,1.20E-07,1.65E-05,0.000102722,MIAT
ENSG00000242110,ENSG00000242110.7,0.948016232,-0.015180081,0.989533132,7.17E-08,1.05E-05,0.000102722,AMACR
ENSG00000254789,ENSG00000254789.2,1.294277298,0.031847846,1.022320706,1.04E-07,1.47E-05,0.000102722,
ENSG00000279447,ENSG00000279447.1,3.084628159,-0.021560847,0.985166279,1.13E-07,1.57E-05,0.000102722,
ENSG00000055208,ENSG00000055208.18,7.370216692,0.00586759,1.004075386,1.90E-07,2.42E-05,0.000124313,TAB2
ENSG00000064886,ENSG00000064886.13,3.538132438,-0.015559508,0.989272921,2.19E-07,2.71E-05,0.000124313,CHI3L2
ENSG00000079215,ENSG00000079215.13,0.770316075,0.019369653,1.013516554,1.39E-07,1.87E-05,0.000124313,SLC1A3
ENSG00000099377,ENSG00000099377.13,0.834822811,0.020681373,1.014438477,1.84E-07,2.36E-05,0.000124313,HSD3B7
ENSG00000100154,ENSG00000100154.14,2.135322139,-0.019094921,0.986851615,2.12E-07,2.64E-05,0.000124313,TTC28
ENSG00000102524,ENSG00000102524.11,6.6102098,0.014642028,1.010200757,1.74E-07,2.26E-05,0.000124313,TNFSF13B
ENSG00000115904,ENSG00000115904.12,6.703584392,0.00661059,1.004592626,1.43E-07,1.91E-05,0.000124313,SOS1
ENSG00000116044,ENSG00000116044.15,6.797394886,0.006826813,1.0047432,1.59E-07,2.09E-05,0.000124313,NFE2L2
ENSG00000125482,ENSG00000125482.12,4.630685953,-0.00572917,0.996036717,2.11E-07,2.63E-05,0.000124313,TTF1
ENSG00000132530,ENSG00000132530.16,6.883341472,0.018804212,1.0131194,1.43E-07,1.92E-05,0.000124313,XAF1
ENSG00000133169,ENSG00000133169.5,-1.251091742,0.020516326,1.01432243,1.89E-07,2.41E-05,0.000124313,BEX1
ENSG00000135218,ENSG00000135218.17,7.617117417,0.012605606,1.008775824,2.32E-07,2.84E-05,0.000124313,CD36
ENSG00000144554,ENSG00000144554.10,4.924949317,-0.006014551,0.995839709,1.79E-07,2.31E-05,0.000124313,FANCD2
ENSG00000163633,ENSG00000163633.10,1.277028419,0.011448957,1.007967384,2.05E-07,2.57E-05,0.000124313,C4orf36
