geneID,geneID2,base_mean,coeff_log2,coeff_natural,pvalue,qval,FDR,gene_symbol
ENSG00000132792,ENSG00000132792.18,5.204102784,-0.230178313,0.852529515,1.87E-10,9.52E-09,9.19E-08,CTNNBL1
ENSG00000135045,ENSG00000135045.6,3.072941741,0.499435423,1.413660239,2.01E-10,1.01E-08,9.19E-08,C9orf40
ENSG00000137831,ENSG00000137831.14,1.913942009,0.587176268,1.502303467,1.87E-10,9.51E-09,9.19E-08,UACA
ENSG00000138496,ENSG00000138496.16,7.558052982,0.525265308,1.43919822,2.01E-10,1.01E-08,9.19E-08,PARP9
ENSG00000144354,ENSG00000144354.13,1.533018794,0.538378164,1.452338922,1.90E-10,9.63E-09,9.19E-08,CDCA7
ENSG00000147894,ENSG00000147894.14,7.77290201,0.45081186,1.366809197,1.88E-10,9.55E-09,9.19E-08,C9orf72
ENSG00000149534,ENSG00000149534.8,1.592975625,-1.38484675,0.382930174,1.55E-10,8.01E-09,9.19E-08,MS4A2
ENSG00000150048,ENSG00000150048.10,1.774203923,0.581872254,1.496790445,1.71E-10,8.75E-09,9.19E-08,CLEC1A
ENSG00000151923,ENSG00000151923.17,5.693730207,0.288720057,1.221556046,1.74E-10,8.90E-09,9.19E-08,TIAL1
ENSG00000158006,ENSG00000158006.13,5.034982741,-0.280922998,0.823064274,1.39E-10,7.26E-09,9.19E-08,PAFAH2
ENSG00000163950,ENSG00000163950.12,5.444563079,-0.23526232,0.849530518,1.96E-10,9.91E-09,9.19E-08,SLBP
ENSG00000164398,ENSG00000164398.12,3.735137997,0.45573752,1.371483742,1.84E-10,9.37E-09,9.19E-08,ACSL6
ENSG00000183691,ENSG00000183691.4,1.587136539,-1.106093845,0.464550118,1.74E-10,8.91E-09,9.19E-08,NOG
ENSG00000186431,ENSG00000186431.18,5.209892998,0.62491258,1.542117378,1.86E-10,9.44E-09,9.19E-08,FCAR
ENSG00000188021,ENSG00000188021.8,5.386623914,0.222642335,1.166868782,1.79E-10,9.15E-09,9.19E-08,UBQLN2
ENSG00000226057,ENSG00000226057.6,-0.518109324,0.7646409,1.698947062,1.46E-10,7.60E-09,9.19E-08,PHF2P2
ENSG00000253230,ENSG00000253230.8,-1.980909199,0.657635036,1.577494566,1.69E-10,8.68E-09,9.19E-08,MIR124-1HG
ENSG00000254288,ENSG00000254288.1,0.248629811,0.742171914,1.672692109,1.94E-10,9.84E-09,9.19E-08,
ENSG00000274929,ENSG00000274929.1,2.471582501,0.400482959,1.319949705,1.96E-10,9.93E-09,9.19E-08,
ENSG00000171658,ENSG00000171658.8,-0.948321506,0.721674501,1.649094988,2.04E-10,1.03E-08,1.01E-07,NMRAL2P
ENSG00000057657,ENSG00000057657.15,5.577901762,0.323252223,1.251147796,2.70E-10,1.32E-08,1.33E-07,PRDM1
ENSG00000059804,ENSG00000059804.15,8.378089249,0.489802471,1.404252597,2.80E-10,1.37E-08,1.33E-07,SLC2A3
ENSG00000069248,ENSG00000069248.11,6.059485498,-0.164777725,0.892065949,4.07E-10,1.90E-08,1.33E-07,NUP133
ENSG00000080819,ENSG00000080819.6,4.589599293,0.212914108,1.159026946,4.15E-10,1.94E-08,1.33E-07,CPOX
ENSG00000085491,ENSG00000085491.15,5.783420249,0.27824784,1.212721134,2.78E-10,1.36E-08,1.33E-07,SLC25A24
ENSG00000090376,ENSG00000090376.10,8.1184307,0.469239157,1.384379187,3.74E-10,1.77E-08,1.33E-07,IRAK3
ENSG00000100207,ENSG00000100207.18,7.128707151,-0.268088263,0.830419218,2.96E-10,1.44E-08,1.33E-07,TCF20
ENSG00000102524,ENSG00000102524.11,6.612009311,0.519801539,1.433758003,4.44E-10,2.05E-08,1.33E-07,TNFSF13B
ENSG00000106484,ENSG00000106484.14,2.180230805,-0.506406011,0.703973969,4.17E-10,1.94E-08,1.33E-07,MEST
ENSG00000109684,ENSG00000109684.14,0.671103792,-0.820703207,0.566165911,3.87E-10,1.82E-08,1.33E-07,CLNK
ENSG00000110107,ENSG00000110107.8,5.350325915,-0.325110274,0.79823737,3.73E-10,1.77E-08,1.33E-07,PRPF19
ENSG00000111237,ENSG00000111237.18,5.830225974,0.284589059,1.218063258,2.07E-10,1.04E-08,1.33E-07,VPS29
ENSG00000112118,ENSG00000112118.18,5.412411956,-0.304771064,0.809570674,4.35E-10,2.01E-08,1.33E-07,MCM3
ENSG00000113520,ENSG00000113520.10,-1.167852343,-0.806235784,0.571872016,3.66E-10,1.73E-08,1.33E-07,IL4
ENSG00000116678,ENSG00000116678.19,3.989485266,0.57468884,1.489356205,3.70E-10,1.75E-08,1.33E-07,LEPR
ENSG00000116717,ENSG00000116717.11,2.82328053,0.501141383,1.415332855,2.17E-10,1.08E-08,1.33E-07,GADD45A
ENSG00000117748,ENSG00000117748.9,5.808656768,-0.236763745,0.848646864,4.37E-10,2.02E-08,1.33E-07,RPA2
ENSG00000119686,ENSG00000119686.9,4.029052334,0.421867658,1.339660706,3.27E-10,1.57E-08,1.33E-07,FLVCR2
ENSG00000123610,ENSG00000123610.4,4.329903064,0.859295226,1.814151859,4.50E-10,2.07E-08,1.33E-07,TNFAIP6
ENSG00000130433,ENSG00000130433.7,0.715693741,-0.971354953,0.51002683,3.84E-10,1.81E-08,1.33E-07,CACNG6
ENSG00000131981,ENSG00000131981.15,6.294004345,0.687894712,1.610931012,4.49E-10,2.07E-08,1.33E-07,LGALS3
ENSG00000135049,ENSG00000135049.15,8.101208045,0.33249566,1.259189713,3.15E-10,1.52E-08,1.33E-07,AGTPBP1
ENSG00000135272,ENSG00000135272.10,6.311700958,0.303945625,1.234516077,3.47E-10,1.66E-08,1.33E-07,MDFIC
ENSG00000137936,ENSG00000137936.16,0.475321012,-0.588094836,0.665220791,3.84E-10,1.81E-08,1.33E-07,BCAR3
ENSG00000139636,ENSG00000139636.15,6.013222289,-0.250440507,0.840639699,3.04E-10,1.48E-08,1.33E-07,LMBR1L
ENSG00000145431,ENSG00000145431.10,2.725805052,0.449834245,1.365883318,3.84E-10,1.81E-08,1.33E-07,PDGFC
ENSG00000146007,ENSG00000146007.10,6.474012657,0.498306404,1.412554376,2.62E-10,1.29E-08,1.33E-07,ZMAT2
ENSG00000147394,ENSG00000147394.18,5.500880166,-0.585559247,0.666390968,2.27E-10,1.13E-08,1.33E-07,ZNF185
ENSG00000147408,ENSG00000147408.14,5.623574583,0.440507439,1.35708157,4.07E-10,1.90E-08,1.33E-07,CSGALNACT1
ENSG00000149792,ENSG00000149792.8,4.928695846,-0.242608517,0.845215707,4.11E-10,1.92E-08,1.33E-07,MRPL49
ENSG00000154734,ENSG00000154734.14,3.204914983,-0.728626197,0.603478301,3.86E-10,1.82E-08,1.33E-07,ADAMTS1
ENSG00000155367,ENSG00000155367.15,-0.443811736,-0.664655173,0.630839467,2.99E-10,1.45E-08,1.33E-07,PPM1J
ENSG00000155657,ENSG00000155657.26,8.377570327,-0.595840919,0.661658675,2.18E-10,1.09E-08,1.33E-07,TTN
ENSG00000163492,ENSG00000163492.14,4.914801508,-0.564976819,0.675966278,2.78E-10,1.36E-08,1.33E-07,CCDC141
